Valid	Winds	Gusts**	Direction	Temp	Humidity
08/27 11:00pm PDT	2 mph	2 mph	SSE	83°F	25%
08/27 10:50pm PDT	2 mph	3 mph	SE	84°F	24%
08/27 10:40pm PDT	3 mph	5 mph	SSE	84°F	25%
08/27 10:30pm PDT	3 mph	5 mph	SSE	84°F	25%
08/27 10:20pm PDT	3 mph	4 mph	S	84°F	25%
08/27 10:10pm PDT	3 mph	5 mph	S	84°F	25%
08/27 10:00pm PDT	2 mph	3 mph	SW	85°F	20%
08/27 09:50pm PDT	0 mph	1 mph	WSW	84°F	20%
08/27 09:40pm PDT	0 mph	0 mph	WSW	83°F	18%
08/27 09:30pm PDT	0 mph	0 mph	SW	83°F	21%
08/27 09:20pm PDT	0 mph	0 mph	WSW	84°F	23%
08/27 09:10pm PDT	1 mph	2 mph	SSE	84°F	25%
08/27 09:00pm PDT	1 mph	2 mph	SE	83°F	29%
08/27 08:50pm PDT	1 mph	2 mph	ESE	83°F	31%
08/27 08:40pm PDT	1 mph	2 mph	SE	82°F	34%
08/27 08:30pm PDT	2 mph	2 mph	E	82°F	34%
08/27 08:20pm PDT	2 mph	3 mph	ENE	82°F	33%
08/27 08:10pm PDT	1 mph	2 mph	NE	81°F	34%
08/27 08:00pm PDT	1 mph	2 mph	ENE	81°F	35%
08/27 07:50pm PDT	1 mph	2 mph	ENE	81°F	38%
08/27 07:40pm PDT	1 mph	2 mph	E	81°F	39%
08/27 07:30pm PDT	0 mph	2 mph	NNE	81°F	39%
08/27 07:20pm PDT	1 mph	3 mph	ENE	81°F	39%
08/27 07:10pm PDT	2 mph	4 mph	NNW	82°F	38%
08/27 07:00pm PDT	2 mph	4 mph	NW	84°F	34%
08/27 06:50pm PDT	3 mph	5 mph	NW	84°F	32%
08/27 06:40pm PDT	3 mph	5 mph	NNW	85°F	30%
08/27 06:30pm PDT	3 mph	5 mph	N	85°F	28%
08/27 06:20pm PDT	3 mph	5 mph	N	87°F	26%
08/27 06:10pm PDT	3 mph	6 mph	WNW	88°F	26%
08/27 06:00pm PDT	4 mph	9 mph	NW	88°F	25%
08/27 05:50pm PDT	4 mph	9 mph	NNW	89°F	25%
08/27 05:40pm PDT	5 mph	9 mph	NNW	89°F	25%
08/27 05:30pm PDT	5 mph	8 mph	N	90°F	26%
08/27 05:20pm PDT	4 mph	10 mph	NNW	90°F	26%
08/27 05:10pm PDT	5 mph	10 mph	NW	91°F	26%
08/27 05:00pm PDT	5 mph	9 mph	NNW	91°F	26%
08/27 04:50pm PDT	5 mph	8 mph	N	91°F	26%
08/27 04:40pm PDT	6 mph	10 mph	NNW	92°F	25%
08/27 04:30pm PDT	5 mph	9 mph	NW	92°F	24%
08/27 04:20pm PDT	4 mph	8 mph	N	92°F	24%
08/27 04:10pm PDT	6 mph	11 mph	NNW	93°F	23%
08/27 04:00pm PDT	5 mph	9 mph	N	94°F	23%
08/27 03:50pm PDT	6 mph	11 mph	WNW	94°F	24%
08/27 03:40pm PDT	6 mph	11 mph	WNW	94°F	24%
08/27 03:30pm PDT	4 mph	11 mph	NNW	95°F	23%
08/27 03:20pm PDT	6 mph	12 mph	NW	94°F	24%
08/27 03:10pm PDT	5 mph	12 mph	NNW	94°F	24%
08/27 03:00pm PDT	6 mph	11 mph	WNW	94°F	25%
08/27 02:50pm PDT	5 mph	10 mph	WNW	94°F	25%
08/27 02:40pm PDT	6 mph	12 mph	NW	95°F	25%
08/27 02:30pm PDT	7 mph	14 mph	NW	96°F	25%
08/27 02:20pm PDT	6 mph	13 mph	W	96°F	24%
08/27 02:10pm PDT	7 mph	13 mph	WNW	96°F	22%
08/27 02:00pm PDT	7 mph	12 mph	NNW	97°F	20%
08/27 01:50pm PDT	7 mph	13 mph	WNW	97°F	20%
08/27 01:40pm PDT	6 mph	12 mph	WNW	96°F	19%
08/27 01:30pm PDT	7 mph	13 mph	WNW	97°F	18%
08/27 01:20pm PDT	6 mph	13 mph	WNW	97°F	16%
08/27 01:10pm PDT	7 mph	13 mph	WNW	97°F	16%
08/27 01:00pm PDT	6 mph	11 mph	NW	97°F	15%
08/27 12:50pm PDT	7 mph	13 mph	NW	98°F	14%
08/27 12:40pm PDT	6 mph	11 mph	N	98°F	13%
08/27 12:30pm PDT	6 mph	12 mph	NNW	97°F	12%
08/27 12:20pm PDT	5 mph	11 mph	NW	96°F	12%
08/27 12:10pm PDT	6 mph	11 mph	WNW	97°F	12%
08/27 12:00pm PDT	6 mph	12 mph	WNW	97°F	11%
08/27 11:50am PDT	6 mph	10 mph	NW	96°F	11%
08/27 11:40am PDT	5 mph	10 mph	NNW	97°F	11%
08/27 11:30am PDT	6 mph	11 mph	NW	97°F	11%
08/27 11:20am PDT	5 mph	10 mph	WNW	97°F	11%
08/27 11:10am PDT	5 mph	9 mph	NNW	96°F	11%
08/27 11:00am PDT	4 mph	9 mph	NNW	97°F	10%
08/27 10:50am PDT	4 mph	8 mph	N	95°F	10%
08/27 10:20am PDT	4 mph	8 mph	NW	95°F	7%
08/27 10:10am PDT	3 mph	7 mph	WNW	95°F	7%
08/27 10:00am PDT	3 mph	7 mph	NW	94°F	8%
08/27 09:50am PDT	4 mph	7 mph	NW	93°F	7%
08/27 09:40am PDT	3 mph	6 mph	NNW	94°F	6%
08/27 09:30am PDT	2 mph	5 mph	NNW	94°F	7%
08/27 09:20am PDT	2 mph	4 mph	NNW	94°F	8%
08/27 09:10am PDT	2 mph	5 mph	NNE	93°F	7%
08/27 09:00am PDT	1 mph	4 mph	N	93°F	7%
08/27 08:50am PDT	2 mph	3 mph	NNE	92°F	7%
08/27 08:40am PDT	2 mph	4 mph	NNE	92°F	7%
08/27 08:30am PDT	2 mph	4 mph	NNE	92°F	6%
08/27 08:20am PDT	2 mph	3 mph	NNE	91°F	7%
08/27 08:10am PDT	2 mph	3 mph	NNE	91°F	7%
08/27 08:00am PDT	2 mph	3 mph	ENE	91°F	8%
08/27 07:50am PDT	1 mph	2 mph	SE	90°F	9%
08/27 07:40am PDT	1 mph	2 mph	SE	89°F	10%
08/27 07:30am PDT	0 mph	1 mph	E	88°F	10%
08/27 07:20am PDT	0 mph	1 mph	ENE	88°F	10%
08/27 07:10am PDT	1 mph	2 mph	SE	87°F	9%
08/27 07:00am PDT	2 mph	3 mph	SSE	86°F	10%
08/27 06:50am PDT	3 mph	4 mph	S	84°F	11%
08/27 06:40am PDT	4 mph	5 mph	S	84°F	12%
08/27 06:30am PDT	3 mph	4 mph	S	84°F	13%
08/27 06:20am PDT	2 mph	3 mph	S	83°F	15%
08/27 06:10am PDT	2 mph	2 mph	S	84°F	15%
08/27 06:00am PDT	1 mph	2 mph	S	84°F	14%
08/27 05:50am PDT	2 mph	2 mph	SSW	83°F	14%
08/27 05:40am PDT	1 mph	2 mph	SSW	83°F	15%
08/27 05:30am PDT	1 mph	1 mph	SE	83°F	14%
08/27 05:20am PDT	1 mph	2 mph	SE	83°F	15%
08/27 05:10am PDT	1 mph	2 mph	S	83°F	15%
08/27 05:00am PDT	2 mph	4 mph	SSW	83°F	14%
08/27 04:50am PDT	2 mph	4 mph	SSW	83°F	14%
08/27 04:40am PDT	1 mph	2 mph	S	83°F	14%
08/27 04:30am PDT	3 mph	4 mph	S	82°F	15%
08/27 04:20am PDT	3 mph	4 mph	S	82°F	15%
08/27 04:10am PDT	3 mph	4 mph	SSE	82°F	14%
08/27 04:00am PDT	2 mph	3 mph	S	83°F	13%
08/27 03:50am PDT	2 mph	3 mph	S	83°F	13%
08/27 03:40am PDT	3 mph	5 mph	S	82°F	12%
08/27 03:30am PDT	4 mph	6 mph	S	81°F	11%
08/27 03:20am PDT	3 mph	6 mph	S	82°F	10%
08/27 03:10am PDT	3 mph	4 mph	S	82°F	10%
08/27 03:00am PDT	3 mph	4 mph	S	82°F	9%
08/27 02:50am PDT	3 mph	4 mph	SSE	82°F	10%
08/27 02:40am PDT	2 mph	3 mph	SSE	82°F	10%
08/27 02:30am PDT	1 mph	2 mph	SSW	82°F	11%
08/27 02:20am PDT	1 mph	2 mph	S	82°F	10%
08/27 02:10am PDT	1 mph	2 mph	S	82°F	9%
08/27 02:00am PDT	2 mph	3 mph	SSW	82°F	8%
08/27 01:50am PDT	2 mph	3 mph	SW	82°F	8%
08/27 01:40am PDT	2 mph	3 mph	SW	82°F	9%
08/27 01:30am PDT	3 mph	4 mph	S	82°F	9%
08/27 01:20am PDT	2 mph	4 mph	SW	82°F	9%
08/27 01:10am PDT	2 mph	4 mph	W	83°F	9%
08/27 01:00am PDT	1 mph	2 mph	W	81°F	9%
08/27 12:50am PDT	0 mph	1 mph	WNW	80°F	11%
08/27 12:40am PDT	0 mph	1 mph	NE	81°F	16%
08/27 12:30am PDT	2 mph	3 mph	N	81°F	14%
08/27 12:20am PDT	3 mph	4 mph	NNW	81°F	15%
08/27 12:10am PDT	2 mph	4 mph	NNW	81°F	17%
08/27 12:00am PDT	0 mph	0 mph	ESE	80°F	16%
08/26 11:50pm PDT	0 mph	1 mph	ESE	80°F	15%
08/26 11:40pm PDT	0 mph	1 mph	NNE	80°F	16%
08/26 11:30pm PDT	1 mph	2 mph	NNE	80°F	16%
08/26 11:20pm PDT	2 mph	2 mph	NNE	81°F	17%
08/26 11:10pm PDT	3 mph	4 mph	N	80°F	17%
08/26 11:00pm PDT	3 mph	4 mph	N	81°F	17%
08/26 10:50pm PDT	3 mph	4 mph	N	81°F	17%
08/26 10:40pm PDT	3 mph	4 mph	N	81°F	17%
08/26 10:30pm PDT	3 mph	4 mph	N	81°F	17%
08/26 10:20pm PDT	3 mph	4 mph	NNW	82°F	16%
08/26 10:10pm PDT	3 mph	4 mph	NNW	82°F	16%
08/26 10:00pm PDT	2 mph	4 mph	NNW	82°F	18%
08/26 09:50pm PDT	2 mph	3 mph	NNE	82°F	19%
08/26 09:40pm PDT	2 mph	4 mph	NE	82°F	19%
08/26 09:30pm PDT	2 mph	4 mph	N	82°F	21%
08/26 09:20pm PDT	2 mph	4 mph	NE	82°F	21%
08/26 09:10pm PDT	3 mph	3 mph	NE	81°F	22%
08/26 09:00pm PDT	2 mph	3 mph	NE	81°F	23%
08/26 08:50pm PDT	2 mph	3 mph	NE	80°F	23%
08/26 08:40pm PDT	2 mph	2 mph	ENE	80°F	23%
08/26 08:30pm PDT	2 mph	2 mph	ENE	79°F	23%
08/26 08:20pm PDT	2 mph	3 mph	NE	79°F	23%
08/26 08:10pm PDT	2 mph	3 mph	ENE	79°F	24%
08/26 08:00pm PDT	3 mph	3 mph	NE	79°F	24%
08/26 07:50pm PDT	3 mph	3 mph	NNE	80°F	24%
08/26 07:40pm PDT	3 mph	4 mph	N	80°F	23%
08/26 07:30pm PDT	3 mph	4 mph	N	81°F	23%
08/26 07:20pm PDT	3 mph	4 mph	NW	81°F	23%
08/26 07:10pm PDT	3 mph	4 mph	NNW	82°F	22%
08/26 07:00pm PDT	2 mph	4 mph	N	83°F	22%
08/26 06:50pm PDT	2 mph	5 mph	WNW	84°F	21%
08/26 06:40pm PDT	4 mph	8 mph	WSW	85°F	21%
08/26 06:30pm PDT	3 mph	8 mph	NNW	86°F	19%
08/26 06:20pm PDT	4 mph	8 mph	W	86°F	20%
08/26 06:10pm PDT	4 mph	8 mph	WNW	87°F	20%
08/26 06:00pm PDT	6 mph	10 mph	NW	87°F	19%
08/26 05:50pm PDT	5 mph	10 mph	WNW	88°F	18%
08/26 05:40pm PDT	4 mph	8 mph	W	89°F	17%
08/26 05:30pm PDT	5 mph	10 mph	NW	89°F	17%
08/26 05:20pm PDT	6 mph	11 mph	NNW	90°F	16%
08/26 05:10pm PDT	6 mph	10 mph	WNW	90°F	16%
08/26 05:00pm PDT	5 mph	10 mph	WNW	91°F	16%
08/26 04:50pm PDT	5 mph	11 mph	WNW	91°F	16%
08/26 04:40pm PDT	6 mph	11 mph	WNW	92°F	16%
08/26 04:30pm PDT	6 mph	12 mph	WNW	92°F	15%
08/26 04:10pm PDT	7 mph	12 mph	W	92°F	14%
08/26 04:00pm PDT	7 mph	13 mph	W	93°F	13%
08/26 03:50pm PDT	7 mph	12 mph	NW	93°F	15%
08/26 03:40pm PDT	7 mph	14 mph	WNW	93°F	15%
08/26 03:30pm PDT	6 mph	17 mph	WNW	93°F	17%
08/26 03:20pm PDT	6 mph	15 mph	W	93°F	18%
08/26 03:10pm PDT	7 mph	13 mph	W	94°F	18%
08/26 03:00pm PDT	6 mph	12 mph	WNW	94°F	17%
08/26 02:50pm PDT	7 mph	15 mph	WNW	95°F	16%
